individuals,Tdur1,Tdur2,Tdur3,Tdur4,Total,Tint1,Tint2,Tint3,Ffoun1,Ffoun2,Ffoun3,Ffoun4,Fhar1,Fhar2,Fhar3,Fhar4
22,0.133,0.179,0.417,0.684,1.728,0.105,0.041,0.169,860,940,1030,860,1720,1980,1980,1800
22,0.15,0.179,0.423,0.772,1.809,0.099,0.035,0.151,770,940,940,940,1630,1980,1980,1800
22,0.145,0.179,0.441,0.714,1.769,0.104,0.053,0.133,860,940,940,770,1720,1980,1980,1800
22,0.139,0.168,0.412,0.667,1.74,0.116,0.058,0.18,770,940,1030,940,1720,1980,1980,1800
22,0.139,0.174,0.423,0.714,1.81,0.122,0.046,0.192,860,940,940,860,1720,1980,1980,1800
22,0.133,0.168,0.412,0.684,1.791,0.116,0.058,0.22,860,940,940,940,1720,1890,1890,1800
22,0.127,0.174,0.4,0.684,1.745,0.116,0.058,0.186,860,940,940,940,1630,1980,1980,1800
24,0.145,0.168,0.481,0.812,1.815,0.127,0,0.082,680,1030,600,770,1460,2060,1550,1550
24,0.133,0.203,0.487,0.673,1.688,0.134,0,0.058,600,1030,860,770,1460,2060,1720,1630
24,0.15,0.208,0.481,0.928,1.965,0.122,0,0.076,600,940,940,770,1460,1980,1890,1550
24,0.15,0.208,0.476,0.917,1.965,0.122,0,0.092,680,1030,940,770,1460,1980,1800,1630
24,0.133,0.197,0.481,1.2189,2.2329,0.145,0,0.058,680,1030,600,770,1460,1980,1630,1550
24,0.156,0.208,0.476,0.893,1.947,0.122,0,0.092,680,1030,600,770,1550,1980,1630,1550
24,0.127,0.208,0.516,0.824,1.878,0.145,0,0.058,600,1030,860,770,1460,1980,1890,1550
24,0.156,0.203,0.499,1.16,2.221,0.128,0,0.075,600,1030,940,770,1550,1980,1630,1550
24,0.145,0.197,0.51,0.946,1.984,0.122,0,0.064,770,1030,600,770,1550,1980,1630,1550
24,0.127,0.191,0.493,1.015,2.053,0.14,0,0.087,680,1030,940,770,1460,2060,1890,1550
25,0.127,0.214,0.417,0.882,1.879,0.192,0.047,0,600,680,680,680,1200,1460,1460,1370
25,0.116,0.203,0.458,1.097,2.129,0.203,0.052,0,600,680,770,680,1460,1460,1550,1460
25,0.104,0.208,0.446,1.062,2.076,0.215,0.041,0,600,680,770,680,1200,1800,1550,1370
25,0.116,0.191,0.441,1.108,2.094,0.203,0.035,0,600,770,770,680,1370,1460,1550,1370
25,0.133,0.208,0.423,1.143,2.125,0.18,0.038,0,600,770,770,680,1460,1460,1550,1370
25,0.121,0.203,0.464,1.01,2.025,0.192,0.035,0,600,860,770,680,1460,1800,1550,1370
25,0.104,0.203,0.4,0.975,1.943,0.215,0.046,0,600,770,770,680,1370,1460,1550,1370
25,0.116,0.191,0.446,1.004,1.995,0.203,0.035,0,600,860,770,680,1200,1720,1550,1370
25,0.116,0.191,0.412,0.94,1.92,0.209,0.052,0,600,680,770,680,1460,1800,1550,1370
25,0.116,0.214,0.446,1.108,2.11,0.197,0.029,0,600,770,770,680,1370,1720,1550,1370
26,0.11,0.725,1.01,0,2.158,0.174,0.139,0,860,1030,940,,1720,2150,1800,
26,0.11,0.684,1.091,0,2.222,0.174,0.163,0,860,1030,940,,1720,2150,1800,
26,0.11,0.731,1.091,0,2.228,0.157,0.139,0,860,1030,940,,1630,2150,1800,
26,0.11,0.789,1.073,0,2.21,0.174,0.064,0,770,1030,1030,,1720,2150,1980,
26,0.11,0.702,1.044,0,2.163,0.168,0.139,0,680,1030,1030,,1720,2150,1800,
26,0.11,0.702,1.062,0,2.17,0.168,0.128,0,770,1030,940,,1550,2150,1980,
26,0.11,0.783,1.137,0,2.273,0.162,0.081,0,860,1030,1030,,1720,1800,1800,
26,0.133,0.795,1.05,0,2.187,0.145,0.064,0,770,1030,940,,1550,2060,1890,
26,0.127,0.673,1.184,0,2.321,0.169,0.168,0,860,1030,680,,1720,1800,1800,
26,0.121,0.702,1.015,0,2.192,0.163,0.191,0,860,1030,940,,1720,2150,1890,
27,0.203,0.203,0.452,0.4,1.431,0.075,0.098,0,770,1550,940,1890,860,1800,860,1720
27,0.191,0.203,0.452,0.4,1.548,0.087,0.122,0.093,860,1630,940,1890,770,1800,860,1720
27,0.214,0.203,0.505,0.47,1.594,0.07,0.098,0.034,860,1720,940,1890,940,1800,860,1720
27,0.203,0.214,0.464,0.47,1.624,0.081,0.093,0.099,860,1630,940,1890,860,1800,860,1720
