individuals,Tdur1,Tdur2,Tdur3,Tdur4,Total,Tint1,Tint2,Tint3,Ffoun1,Ffoun2,Ffoun3,Ffoun4,Fhar1,Fhar2,Fhar3,Fhar4
3,0.162,0.208,0.731,1.81,2.952,0.041,0,0,600,680,680,600,1200,1630,1630,1630
3,0.139,0.208,0.772,1.706,2.883,0.058,0,0,600,680,680,600,1200,1630,1630,1630
3,0.15,0.203,0.684,1.893,2.977,0.047,0,0,600,680,680,600,1200,1630,1630,1630
3,0.145,0.197,0.789,1.531,2.702,0.04,0,0,600,680,680,600,1290,1630,1630,1630
3,0.156,0.208,0.626,1.735,2.76,0.035,0,0,600,680,680,600,1290,1630,1630,1630
3,0.133,0.203,0.748,1.375,2.523,0.064,0,0,600,680,680,600,1290,1630,1630,1630
3,0.145,0.208,0.766,1.114,2.279,0.046,0,0,600,680,680,600,1290,1630,1630,1630
3,0.145,0.162,0.719,2.31,3.405,0.069,0,0,600,680,680,600,1200,1290,1290,1460
3,0.139,0.168,0.754,2.275,3.405,0.069,0,0,600,680,600,600,1200,1290,1290,1460
3,0.133,0.203,0.725,1.991,3.116,0.064,0,0,600,680,600,600,1200,1290,1290,1720
3,0.133,0.179,0.725,2.461,3.568,0.07,0,0,600,680,680,600,1200,1290,1290,1720
3,0.127,0.203,0.893,1.908,3.183,0.052,0,0,600,680,680,600,1200,1550,1290,1630
3,0.162,0.22,0.737,1.688,2.836,0.029,0,0,600,680,680,600,1200,1630,1290,1630
3,0.139,0.191,0.714,1.724,2.814,0.046,0,0,600,680,680,600,1200,1630,1290,1720
3,0.139,0.197,0.737,1.862,2.987,0.052,0,0,600,680,680,600,1200,1630,1290,1630
3,0.127,0.214,0.731,1.224,2.366,0.07,0,0,600,680,680,600,1200,1630,1290,1720
3,0.145,0.208,0.702,1.666,2.773,0.052,0,0,600,680,680,600,1200,1630,1290,1720
3,0.15,0.197,0.789,1.677,2.86,0.047,0,0,600,680,680,600,1200,1550,1290,1720
